=== bd list --flat (full output) ===
○ bp-u88 [● P2] [task] - bulk 55
○ bp-2ep [● P2] [task] - bulk 54
○ bp-eel [● P2] [task] - bulk 52
○ bp-w1t [● P2] [task] - bulk 53
○ bp-od5 [● P2] [task] - bulk 51
○ bp-d3t [● P2] [task] - bulk 50
○ bp-x4o [● P2] [task] - bulk 49
○ bp-5ob [● P2] [task] - bulk 47
○ bp-vwb [● P2] [task] - bulk 48
○ bp-0a3 [● P2] [task] - bulk 46
○ bp-6wb [● P2] [task] - bulk 45
○ bp-blf [● P2] [task] - bulk 44
○ bp-5mv [● P2] [task] - bulk 43
○ bp-hkh [● P2] [task] - bulk 42
○ bp-9c4 [● P2] [task] - bulk 41
○ bp-fgj [● P2] [task] - bulk 40
○ bp-04f [● P2] [task] - bulk 39
○ bp-53l [● P2] [task] - bulk 38
○ bp-gti [● P2] [task] - bulk 36
○ bp-txd [● P2] [task] - bulk 37
○ bp-ew7 [● P2] [task] - bulk 35
○ bp-jam [● P2] [task] - bulk 34
○ bp-1yz [● P2] [task] - bulk 32
○ bp-n84 [● P2] [task] - bulk 33
○ bp-bzq [● P2] [task] - bulk 31
○ bp-noo [● P2] [task] - bulk 30
○ bp-wwd [● P2] [task] - bulk 29
○ bp-x2u [● P2] [task] - bulk 28
○ bp-2ip [● P2] [task] - bulk 26
○ bp-adm [● P2] [task] - bulk 27
○ bp-re8 [● P2] [task] - bulk 25
○ bp-str [● P2] [task] - bulk 24
○ bp-hdb [● P2] [task] - bulk 23
○ bp-vrg [● P2] [task] - bulk 22
○ bp-1au [● P2] [task] - bulk 21
○ bp-d9t [● P2] [task] - bulk 20
○ bp-y47 [● P2] [task] - bulk 19
○ bp-3k3 [● P2] [task] - bulk 18
○ bp-5me [● P2] [task] - bulk 17
○ bp-2wn [● P2] [task] - bulk 15
○ bp-5kh [● P2] [task] - bulk 16
○ bp-8cg [● P2] [task] - bulk 14
○ bp-b0b [● P2] [task] - bulk 13
○ bp-58a [● P2] [task] - bulk 11
○ bp-njl [● P2] [task] - bulk 12
○ bp-zcx [● P2] [task] - bulk 10
○ bp-db3 [● P2] [task] - bulk 09
○ bp-5ie [● P2] [task] - bulk 08
○ bp-8fu [● P2] [task] - bulk 07
○ bp-qlz [● P2] [task] - bulk 06
○ bp-2d1 [● P2] [task] - bulk 05
○ bp-8mb [● P2] [task] - bulk 03
○ bp-rvh [● P2] [task] - bulk 04
○ bp-tls [● P2] [task] - bulk 02
○ bp-akt [● P2] [task] - bulk 01
--- exit=0 ---
